Vis,ErrorScore,TruePercent,Reported
angles,0.16992500144231237,170,169
angles,2.0443941193584534,7,11
angles,2.6147098441152083,244,238
angles,2.6147098441152083,346,340
angles,1.6438561897747248,112,115
angles,1.0874628412503393,128,130
angles,3.599912842187128,342,330
angles,2.8328900141647417,278,285
angles,0.16992500144231237,268,267
angles,0.16992500144231237,3,4
angles,0.16992500144231237,185,186
angles,0.16992500144231237,134,133
angles,3.189824558880017,349,340
angles,2.6147098441152083,241,235
volume,8.124767535822473,343,64
volume,6.61654884377899,125,27
volume,5.2143191208007655,64,27
volume,5.933690654952234,125,64
volume,6.509775004326937,216,125
volume,5.2143191208007655,64,27
volume,7.769011321097015,343,125
volume,7.249113452713728,216,64
volume,6.61654884377899,125,27
volume,8.21006248324023,512,216
volume,8.21006248324023,512,216
volume,7.769011321097015,343,125
volume,7.249113452713728,216,64
volume,5.2143191208007655,64,27
volume,5.933690654952234,125,64
volume,5.2143191208007655,64,27
volume,7.249113452713728,216,64
volume,4.257387842692652,27,8
volume,8.21006248324023,512,216
volume,6.509775004326937,216,125
barchart_vert,-3,2,2
barchart_vert,-1.968973102169289,2.130434783,2
barchart_vert,-2.5849624978357673,2.041666667,2
barchart_vert,-2.1520030934450496,1.5,1.4
barchart_vert,-1.694923822143896,1.483870968,1.3
barchart_vert,-1.9004643256796503,6.142857143,6
barchart_vert,-3,2,2
barchart_vert,-0.6780719051126377,3.5,3
barchart_vert,-2.383328637042472,2.933333333,3
barchart_vert,-0.025995208742790512,4.857142857,4
barchart_hor,-0.6780719051126377,5.5,5
barchart_hor,-2.706463507700504,1.128205128,1.1
barchart_hor,-0.7303018633533266,2.277777778,1.8
barchart_hor,-2.51457317282976,2.15,2.1
barchart_hor,-2.004983407713937,1.275862069,1.4
barchart_hor,-0.30273452914561255,3.285714286,2.6
barchart_hor,-1.7369655941662059,1.625,1.8
barchart_hor,-1.710070368473515,1.419354839,1.6
barchart_hor,-3,1,1
barchart_hor,-1.9296106721086024,1.0625,1.2
angles,1.6438561897747248,347,350
angles,3.4757334309663976,131,120
angles,-3,260,260
angles,3.0223678130284544,358,350
angles,4.330916878114617,320,340
angles,2.6147098441152083,51,45
angles,3.0223678130284544,353,345
angles,0.16992500144231237,171,170
angles,2.357552004618084,5,10
angles,3.0223678130284544,208,200
angles,2.0443941193584534,66,70
angles,-3,85,85
angles,3.3398500028846247,110,120
angles,2.0443941193584534,26,30
angles,2.8328900141647417,283,290
angles,2.357552004618084,215,220
angles,3.0223678130284544,57,65
angles,0.16992500144231237,319,320
angles,1.0874628412503393,318,320
angles,2.8328900141647417,127,120
volume,8.21006248324023,512,216
volume,7.769011321097015,343,125
volume,7.769011321097015,343,125
volume,6.61654884377899,125,27
volume,5.2143191208007655,64,27
volume,6.9901039638575,343,216
volume,3.3398500028846247,216,226
volume,4.257387842692652,27,8
volume,4.257387842692652,27,8
volume,6.9901039638575,343,216
volume,6.509775004326937,216,125
volume,6.509775004326937,216,125
volume,7.401946123976537,512,343
volume,5.933690654952234,64,125
volume,8.124767535822473,343,64
volume,8.21006248324023,512,216
volume,6.9901039638575,343,216
volume,7.563196272216737,216,27
volume,6.61654884377899,125,27
volume,6.61654884377899,125,27
barchart_vert,-1.9747627068331206,1.529411765,1.4
barchart_vert,-2.3942789414203585,1.565217391,1.5
barchart_vert,-2.6825178080065033,1.230769231,1.2
barchart_vert,-1.0331668628615645,4.363636364,4
barchart_vert,-2.256972655224246,1.184210526,1.1
barchart_vert,-0.46394709975979004,2.6,2
barchart_vert,-1.4806258422484624,1.533333333,1.3
barchart_vert,-1.3428877143675129,1.730769231,2
barchart_vert,-2.687496919198711,1.069767442,1.1
barchart_vert,-0.7983661388303496,1.95,1.5
barchart_hor,-1.8255022694983423,1.142857143,1.3
barchart_hor,-3,3,3
barchart_hor,-1.3523017427030557,2.266666667,2
barchart_hor,-1.526068812590912,1.722222222,1.5
barchart_hor,-2.2466399656269287,1.285714286,1.2
barchart_hor,-2.9419943979858076,1.205128205,1.2
barchart_hor,-1.6535495853301658,1.392857143,1.2
barchart_hor,-0.8123729979502341,4.555555556,5
barchart_hor,-1.1255308831330912,2.333333333,2
barchart_hor,-1.7865476223441816,1.135135135,1.3
angles,2.357552004618084,265,260
angles,3.0223678130284544,192,200
angles,2.357552004618084,265,260
angles,-3,250,250
angles,2.6147098441152083,321,315
angles,3.599912842187128,18,30
angles,2.357552004618084,205,200
angles,2.8328900141647417,33,40
angles,2.357552004618084,245,240
angles,3.0223678130284544,142,150
angles,2.0443941193584534,206,210
angles,3.0223678130284544,358,350
angles,2.8328900141647417,247,240
angles,3.0223678130284544,222,230
angles,0.16992500144231237,261,260
angles,4.011227255423254,146,130
angles,3.7142455176661224,353,340
angles,2.6147098441152083,86,80
angles,1.6438561897747248,187,190
angles,2.0443941193584534,269,265
volume,5.933690654952234,125,64
volume,6.509775004326937,216,125
volume,6.9901039638575,343,216
volume,7.401946123976537,512,343
volume,-3,27,27
volume,6.61654884377899,125,27
volume,4.257387842692652,27,8
volume,6.509775004326937,216,125
volume,6.509775004326937,216,125
volume,5.933690654952234,125,64
volume,4.257387842692652,27,8
volume,8.21006248324023,512,216
volume,6.8719052376591865,343,226
volume,5.933690654952234,64,125
volume,7.401946123976537,512,343
volume,6.9901039638575,343,216
volume,-3,64,64
volume,4.257387842692652,27,8
volume,8.21006248324023,512,216
volume,-3,125,125
