Vis,ErrorScore,TruePercent,Reported
barchart_vert,0.3333333330000001,2.666666667,3
barchart_vert,0.03500000000000014,1.05,1.015
barchart_vert,0.04363636399999993,1.636363636,1.68
barchart_vert,0.1393548389999999,1.419354839,1.28
barchart_vert,0.15000000000000036,4.25,4.1
barchart_vert,0.18999999999999995,2.45,2.64
barchart_vert,0.125,6.125,6
barchart_vert,0.2571428570000007,4.142857143,4.4
barchart_hor,0,1.3,1.3
barchart_hor,0.6833333329999998,4.083333333,3.4
barchart_hor,0.012499999999999956,1.4375,1.45
barchart_hor,0.11578947400000006,1.315789474,1.2
barchart_hor,0.008333332999999943,1.066666667,1.075
barchart_hor,0.5,5.5,5
barchart_hor,0.06956521699999985,1.869565217,1.8
barchart_hor,0.01666666699999997,1.266666667,1.25
barchart_hor,0,2.2,2.2
barchart_hor,0.09999999999999964,4,4.1
angles,2,236,238
angles,6,174,168
angles,2,93,95
angles,2,84,82
angles,1,93,94
angles,2,142,140
angles,1,170,169
angles,4,7,11
angles,6,244,238
angles,6,346,340
angles,3,112,115
angles,2,128,130
angles,12,342,330
angles,7,278,285
angles,1,268,267
angles,1,3,4
angles,1,185,186
angles,1,134,133
angles,9,349,340
angles,6,241,235
volume,279,343,64
volume,98,125,27
volume,37,64,27
volume,61,125,64
volume,91,216,125
volume,37,64,27
volume,218,343,125
volume,152,216,64
volume,98,125,27
volume,296,512,216
volume,296,512,216
volume,218,343,125
volume,152,216,64
volume,37,64,27
volume,61,125,64
volume,37,64,27
volume,152,216,64
volume,19,27,8
volume,296,512,216
volume,91,216,125
barchart_vert,0,2,2
barchart_vert,0.1304347830000001,2.130434783,2
barchart_vert,0.04166666699999988,2.041666667,2
barchart_vert,0.10000000000000009,1.5,1.4
barchart_vert,0.1838709679999999,1.483870968,1.3
barchart_vert,0.14285714299999963,6.142857143,6
barchart_vert,0,2,2
barchart_vert,0.5,3.5,3
barchart_vert,0.06666666699999979,2.933333333,3
barchart_vert,0.8571428570000004,4.857142857,4
barchart_hor,0.5,5.5,5
barchart_hor,0.028205127999999968,1.128205128,1.1
barchart_hor,0.4777777779999999,2.277777778,1.8
barchart_hor,0.04999999999999982,2.15,2.1
barchart_hor,0.12413793099999992,1.275862069,1.4
barchart_hor,0.6857142860000001,3.285714286,2.6
barchart_hor,0.17500000000000004,1.625,1.8
barchart_hor,0.18064516100000017,1.419354839,1.6
barchart_hor,0,1,1
barchart_hor,0.13749999999999996,1.0625,1.2
angles,3,347,350
angles,11,131,120
angles,0,260,260
angles,8,358,350
angles,20,320,340
angles,6,51,45
angles,8,353,345
angles,1,171,170
angles,5,5,10
angles,8,208,200
angles,4,66,70
angles,0,85,85
angles,10,110,120
angles,4,26,30
angles,7,283,290
angles,5,215,220
angles,8,57,65
angles,1,319,320
angles,2,318,320
angles,7,127,120
volume,296,512,216
volume,218,343,125
volume,218,343,125
volume,98,125,27
volume,37,64,27
volume,127,343,216
volume,10,216,226
volume,19,27,8
volume,19,27,8
volume,127,343,216
volume,91,216,125
volume,91,216,125
volume,169,512,343
volume,61,64,125
volume,279,343,64
volume,296,512,216
volume,127,343,216
volume,189,216,27
volume,98,125,27
volume,98,125,27
barchart_vert,0.12941176500000018,1.529411765,1.4
barchart_vert,0.06521739100000001,1.565217391,1.5
barchart_vert,0.030769231000000064,1.230769231,1.2
barchart_vert,0.36363636400000043,4.363636364,4
barchart_vert,0.0842105259999999,1.184210526,1.1
barchart_vert,0.6000000000000001,2.6,2
barchart_vert,0.23333333300000003,1.533333333,1.3
barchart_vert,0.269230769,1.730769231,2
barchart_vert,0.03023255800000002,1.069767442,1.1
barchart_vert,0.44999999999999996,1.95,1.5
barchart_hor,0.15714285699999997,1.142857143,1.3
barchart_hor,0,3,3
barchart_hor,0.26666666699999997,2.266666667,2
barchart_hor,0.22222222200000008,1.722222222,1.5
barchart_hor,0.08571428599999997,1.285714286,1.2
barchart_hor,0.005128205000000108,1.205128205,1.2
barchart_hor,0.19285714300000012,1.392857143,1.2
barchart_hor,0.44444444400000016,4.555555556,5
